Brand Name,OS,RAM Type,RAM Size,Processor,Warranty,Disk Type,Disk Size,Price
Lenovo,Windows,DDR4,8,Intel,2,SSD,256,36991
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
ASUS,Windows,DDR4,8,Intel,1,SSD,512,32990
HP,Windows,DDR4,8,AMD,1,SSD,512,49990
ASUS,Windows,DDR4,8,Intel,1,SSD,512,49990
HP,Windows,DDR4,8,Intel,1,SSD,256,36991
DELL,Windows,DDR4,8,Intel,1,HDD,1024,38991
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
Others,Windows,DDR4,8,Intel,1,SSD,256,46990
ASUS,Windows,DDR4,16,AMD,1,SSD,512,44990
HP,Windows,DDR4,8,AMD,1,SSD,512,59990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,8,Intel,1,SSD,256,32990
ASUS,Windows,DDR4,8,AMD,1,SSD,512,52991
acer,Windows,DDR4,8,Intel,1,SSD,256,29991
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
ASUS,Windows,DDR4,8,Intel,1,HDD,1024,47991
ASUS,Windows,DDR4,8,Intel,1,SSD,512,45990
MSI,Windows,DDR4,8,AMD,1,SSD,512,47991
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
APPLE,Mac,DDR4,8,Others,1,SSD,256,88991
HP,Windows,DDR4,8,Intel,1,SSD,512,40990
Lenovo,Others,Others,4,Intel,1,HDD,256,19491
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,35591
HP,Windows,DDR4,8,Intel,1,SSD,512,65990
RedmiBook,Windows,DDR4,8,Intel,1,SSD,512,39990
Lenovo,Windows,DDR4,8,Intel,2,SSD,512,39990
ASUS,Windows,DDR5,16,AMD,1,SSD,1024,196991
acer,Windows,DDR4,16,Intel,1,SSD,512,58990
Others,Windows,DDR4,8,Intel,1,SSD,256,46990
Lenovo,Windows,DDR4,8,AMD,2,SSD,512,38706
ASUS,Windows,DDR4,16,AMD,1,SSD,1024,85991
acer,Windows,DDR4,8,AMD,1,SSD,256,24991
